menu deploy,,deploy in main menu,部署,,在主菜单中配置/（部署）
menu dapps,,dapps in main menu,Dapps（分布式应用）,,在主菜单中分布式应用
menu settings,,settings in main menu,设置,,在主菜单中设置
menu transactions,,transactions in main menu,转账,,在主菜单中转账
search dapps,,search dapps in tabs list,查询Dapps,,在标签列表中查询分布式应用
ip application,,IP Application,ip应用程序,,IP应用程序
ip app,,,ip应用,,
dapp,,,Dapp（分布式应用）,,
ip app security paragraph,,when you click on IP,ip应用程序安全段落,,当点击你的IP
decentralized application,,full term for dapp,去中心化应用程序,,分布式应用的安全条件
dapp security paragraph,,,分布式应用程序安全段落,,
reload,,"reload a dapp or IP application, like ""refresh"" web page",重新加载,,重新读取分布式或IP应用程序，如“更新”网页
accounts,,accounts for money transfer and transaction signing,账户,,资金转账和签署的账户
networks,,,网络,,
names,,,名字,,
settings network paragraph,,Settings > Settings,设置网络段落,,设置>设置
resolver,,Settings > Settings,解决,,设置>设置
auto,,Settings > Settings,自动,,设置>设置
custom,,Settings > Settings,自定义,,设置>设置
number of nodes,,Settings > Settings,节点数量,,设置>设置
accuracy,,Settings > Settings,精度,,设置>设置
submit,,,提交,,
development,,Settings > Settings,开发,,设置>设置
settings development paragraph,,Settings > Settings,设置开发段落,,设置>设置
development mode,,Settings > Settings,开发模式,,设置>设置
settings accounts paragraph,,Settings > Accounts,设置账户段落,,设置>账户
set as main account,,Settings > Accounts,设为主账户,,设置>账户
send revs,,Settings > Accounts,发送REV,,设置>账户
remove account,,Settings > Accounts,取消账户,,设置>账户
transfer revs,,Settings > Accounts,转移REV,,设置>账户
transaction,,Settings > Accounts,转账,,设置>账户
beta warning,,send rev popup or transaction popup,beta警告,,
for address,,transfer REV popup,地址,,弹出转移REV
password,,transfer REV popup,密码,,弹出转移REV
phlogiston limit,,transfer REV popup,燃素限制,,弹出转移REV
to (rev address),,transfer REV popup,发送至（REV地址）,,弹出转移REV
amount,,transfer REV popup,数量,,弹出转移REV
from,,transfer REV popup,发送方地址,,弹出转移REV
add acount,,,新增地址,,
forgot password warning,,Settings > Add acount,忘记密码警告,,设置>新增地址
name,,Settings > Accounts > Add account,名字,,设置>账户>新增地址
public key,,Settings > Accounts > Add account,公钥,,设置>账户>新增地址
public key derived,,Settings > Accounts > Add account,导出公钥,,设置>账户>新增地址
address,,Settings > Accounts > Add account,地址,,设置>账户>新增地址
address derived,,Settings > Accounts > Add account,导出地址,,设置>账户>新增地址
private key,,Settings > Accounts > Add account,私钥,,设置>账户>新增地址
generate private key,,Settings > Accounts > Add account,形成私钥,,设置>账户>新增地址
rchain network,,Settings > Network,RChain网络,,设置>网络
name price,,Settings > Network,域名价格,,设置>网络
last known block height,,Settings > Network,最近已知区块高度,,设置>网络
names registry uri,,Settings > Network,域名注册URI,,设置>网络
nodes paragraph,,Settings > Network,节点段落,,设置>网络
added by the user,,Settings > Network,由用户新增,,设置>网络
retreived from dappy network,,Settings > Network,从分布式网络中恢复,,设置>网络
cancel,,Settings > Network,取消,,设置>网络
download node addresses,,Settings > Network,下载节点地址,,设置>网络
import hard coded nodes,,Settings > Network,输入硬编码节点,,设置>网络
drop csv file,,Settings > Network,放入csv文件,,设置>网络
remove network,,Settings > Network,取消网络,,设置>网络
are you sure remove network,,Settings > Network,是否确认取消网络,,设置>网络
yes,,Settings > Network,是,,设置>网络
add network,,Settings > Network > Add network,新增网络,,设置>网络>新增网络
add network paragraph,,Settings > Network > Add network,新增网络段落,,设置>网络>新增网络
platform,,Settings > Networks > Add network,平台,,设置>网络>新增网络
network (defaults),,Settings > Network > Add network,网络（默认）,,设置>网络>新增网络
or custom network id,,Settings > Network > Add network,或定制网络id,,设置>网络>新增网络
network name,,Settings > Network > Add network,网络名字,,设置>网络>新增网络
